Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
00857	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00860	399	252	275	410	485	587	623	691	761	750	657	836	799	649	550	496	466	509	522	540			
00862	84	100	110	160	165	185	200	208	219	239	266	274	326	374	373	376	303	319	321	369			
00864	#	16	11	#	14	#	13	15	12	14	21	22	20	21	20	16	21	15	23	18			
00865	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00866	#	#	#	#	#	#	12	14	14	16	20	13	19	19	19	20	21	14	21	13			
00868	29	30	26	33	31	31	40	54	31	37	53	38	40	44	44	45	34	33	47	33			
00869	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00870	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00872	91	75	68	50	49	43	38	30	29	24	37	33	28	36	26	19	23	25	18	17			
00873	60	82	143	163	210	229	262	251	269	282	332	342	356	346	425	521	403	407	459	377			
00880	38	53	54	63	67	70	70	73	49	59	53	38	35	31	35	39	31	43	30	39			
00882	18	16	46	65	85	91	58	38	48	48	28	35	34	12	#	#	#	#	#	#			
00884	20	27	23	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00900	21	19	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00902	791	878	764	784	766	677	685	578	536	561	533	504	495	523	464	470	435	456	425	363			
00904	#	16	11	19	26	18	22	31	28	14	24	21	30	43	40	41	38	39	47	48			
00906	#	#	#	17	12	16	26	24	24	23	38	31	31	42	40	38	41	51	53	45			
00908	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00910	733	761	850	914	1016	1156	1223	1219	1315	1262	1352	1377	1476	1623	1623	1701	1780	1796	1781	1870			
00912	110	129	132	172	181	222	213	225	275	261	293	273	329	334	361	388	402	456	412	441			
00914	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00916	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00918	71	68	70	116	152	164	214	219	218	239	272	297	348	379	355	382	545	647	678	697			
00920	#	#	#	13	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
